player_name,player_ally_code,player_last_updated,character_name,character_rarity,character_gear_level,character_relic_tier,character_speed,critical_damage,critical_chance,offence,special_offence
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Magmatrooper,7,11,1,177.0,1.5,35.099000000000004,2732.0,1662.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Hermit Yoda,7,13,5,323.0,1.5,46.50366666666667,4102.0,6460.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Greef Karga,7,13,3,303.0,1.5,49.19100000000001,4727.0,3080.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,"Garazeb ""Zeb"" Orrelios",7,8,1,160.0,1.5,31.80966666666667,1975.0,1450.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Barriss Offee,7,13,4,210.0,1.5,61.28633333333333,4645.0,4373.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,"CT-21-0408 ""Echo""",7,13,7,254.0,1.92,46.675,6807.0,10124.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,B1 Battle Droid,7,13,4,281.0,1.56,61.291666666666664,8142.0,4440.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Colonel Starck,7,13,3,306.0,1.9649999999999999,84.509,4546.0,3511.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,BB-8,7,13,7,305.0,1.5,60.46066666666666,5104.0,7864.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Poggle the Lesser,7,12,1,219.0,1.5,33.326,2539.0,4950.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,First Order SF TIE Pilot,7,13,3,207.0,1.8,71.05133333333332,4608.0,5873.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,General Kenobi,7,13,8,186.0,1.5,46.62500000000001,5921.0,5701.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Jawa Scavenger,7,9,1,195.0,1.5,27.158000000000005,2200.0,2746.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,L3-37,7,12,1,145.0,1.5,33.08333333333333,3257.0,2334.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Droideka,7,12,1,176.0,1.5,43.062999999999995,4335.0,1997.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Ewok Scout,7,10,1,187.0,2.16,45.864666666666665,2620.0,1842.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,K-2SO,7,9,1,200.0,1.5,32.177,2256.0,2102.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Nightsister Acolyte,7,11,1,254.0,1.8599999999999999,29.069,2123.0,4130.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Sith Empire Trooper,7,13,4,138.0,1.5,49.049,4459.0,3725.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Hunter,7,13,5,246.0,2.16,81.249,5990.0,6415.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,IG-86 Sentinel Droid,7,11,1,175.0,2.16,53.298,2670.0,1846.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Sith Marauder,7,13,7,251.0,2.16,79.88833333333332,7039.0,6347.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Rey (Jedi Training),7,13,7,294.0,1.92,74.83333333333333,5867.0,5470.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Threepio & Chewie,7,13,5,282.0,2.2199999999999998,60.83,7734.0,4907.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Kylo Ren,7,13,7,256.0,1.8599999999999999,69.226,7035.0,6429.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Dengar,7,13,5,215.0,2.16,73.49933333333333,6073.0,4221.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Ki-Adi-Mundi,7,13,7,256.0,1.92,67.05066666666667,10610.0,8196.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Bo-Katan Kryze,7,13,5,242.0,2.235,67.5,6162.0,4089.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,IG-100 MagnaGuard,7,13,5,165.0,1.5,48.01166666666666,4796.0,3858.0
Tyfon la Mandale Φ,112477899,2022-02-13T00:50:20,Range Trooper,7,13,4,256.0,1.8599999999999999,56.90233333333333,5578.0,4671.0
